full_date,weekday,time,mood
2021-02-13,Saturday,00:29,fine I’m fine 
2021-02-12,Friday,12:47,fine I’m fine 
2021-02-12,Friday,00:34,little tears
2021-02-11,Thursday,21:37,calm happy
2021-02-10,Wednesday,23:07,fine I’m fine 
2021-02-10,Wednesday,18:07,meh
2021-02-10,Wednesday,15:17,fine I’m fine 
2021-02-09,Tuesday,23:04,meh
2021-02-09,Tuesday,16:04,anxious
2021-02-08,Monday,16:12,irritated
2021-02-08,Monday,12:12,fine I’m fine 
2021-02-07,Sunday,22:41,meh
2021-02-07,Sunday,12:41,fine I’m fine 
2021-02-06,Saturday,22:03,in love
2021-02-05,Friday,10:28,fine I’m fine 
2021-02-04,Thursday,15:18,sick
2021-02-04,Thursday,10:28,fine I’m fine 
2021-02-03,Wednesday,19:25,fine I’m fine 
2021-02-02,Tuesday,21:00,fine I’m fine 
2021-02-01,Monday,14:00,fine I’m fine 
2021-01-31,Sunday,22:47,fine I’m fine 
2021-01-31,Sunday,15:03,meh
2021-01-30,Saturday,10:51,fine I’m fine 
2021-01-29,Friday,19:17,meh
2021-01-29,Friday,19:17,fine I’m fine 
2021-01-28,Thursday,17:09,irritated
2021-01-28,Thursday,17:08,fine I’m fine 
2021-01-27,Wednesday,18:25,fine I’m fine 
2021-01-26,Tuesday,16:04,meh
2021-01-26,Tuesday,08:14,fine I’m fine 
2021-01-25,Monday,14:20,meh
2021-01-24,Sunday,16:28,fine I’m fine 
2021-01-24,Sunday,10:51,sick
2021-01-23,Saturday,18:38,little tears
2021-01-22,Friday,21:49,sick
2021-01-22,Friday,13:06,fine I’m fine 
2021-01-21,Thursday,19:39,fine I’m fine 
2021-01-21,Thursday,19:39,meh
2021-01-20,Wednesday,14:24,meh
2021-01-19,Tuesday,22:16,fine I’m fine 
2021-01-18,Monday,21:01,meh
2021-01-18,Monday,21:01,fine I’m fine 
2021-01-17,Sunday,21:07,in love
2021-01-17,Sunday,15:06,fine I’m fine 
2021-01-16,Saturday,21:55,fine I’m fine 
2021-01-16,Saturday,13:39,fine I’m fine 
2021-01-15,Friday,19:26,meh
2021-01-14,Thursday,16:30,fine I’m fine 
2021-01-13,Wednesday,11:25,irritated
2021-01-12,Tuesday,23:17,fine I’m fine 
2021-01-11,Monday,21:19,fine I’m fine 
2021-01-10,Sunday,16:52,irritated
2021-01-09,Saturday,11:40,fine I’m fine 
2021-01-08,Friday,12:32,sick
2021-01-07,Thursday,19:20,fine I’m fine 
2021-01-06,Wednesday,20:49,meh
2021-01-06,Wednesday,14:37,bad
2021-01-05,Tuesday,23:34,fine I’m fine 
2021-01-05,Tuesday,11:49,fine I’m fine 
2021-01-04,Monday,21:00,sick
2021-01-03,Sunday,20:25,fine I’m fine 
2021-01-03,Sunday,15:09,meh
2021-01-02,Saturday,18:52,meh
2021-01-01,Friday,23:00,little tears
2021-01-01,Friday,21:55,irritated
2020-12-31,Thursday,22:29,fine I’m fine 
2020-12-31,Thursday,17:23,meh
2020-12-30,Wednesday,18:44,meh
2020-12-29,Tuesday,18:58,sick
2020-12-29,Tuesday,17:59,fine I’m fine 
2020-12-28,Monday,18:10,fine I’m fine 
2020-12-28,Monday,18:10,meh
2020-12-27,Sunday,16:41,meh
2020-12-26,Saturday,23:19,fine I’m fine 
2020-12-26,Saturday,19:19,fine I’m fine 
2020-12-26,Saturday,19:18,meh
2020-12-25,Friday,21:00,sick
2020-12-24,Thursday,23:06,fine I’m fine 
2020-12-24,Thursday,19:39,sick
2020-12-23,Wednesday,16:41,fine I’m fine 
2020-12-22,Tuesday,18:56,meh
2020-12-21,Monday,21:28,little tears
2020-12-21,Monday,16:13,fine I’m fine 
